iter	Passed	Remaining
0	2	2763
1	5	2594
2	7	2489
3	9	2404
4	11	2352
5	14	2349
6	16	2389
7	19	2418
8	22	2450
9	24	2471
10	27	2476
11	29	2439
12	31	2428
13	34	2464
14	37	2466
15	39	2447
16	42	2429
17	44	2414
18	46	2403
19	49	2415
20	52	2426
21	54	2434
22	57	2432
23	59	2420
24	62	2421
25	65	2437
26	67	2434
27	69	2421
28	71	2407
29	74	2395
30	76	2381
31	78	2372
32	81	2381
33	83	2379
34	86	2373
35	88	2362
36	90	2355
37	92	2345
38	94	2340
39	97	2339
40	99	2330
41	101	2322
42	103	2313
43	106	2304
44	108	2297
45	110	2295
46	113	2301
47	116	2305
48	118	2302
49	120	2297
50	123	2290
51	125	2284
52	128	2291
53	130	2294
54	133	2301
55	136	2301
56	139	2299
57	141	2293
58	143	2294
59	146	2294
60	148	2289
61	150	2283
62	153	2277
63	155	2271
64	157	2267
65	160	2274
66	163	2274
67	165	2269
68	167	2263
69	170	2258
70	172	2252
71	174	2251
72	177	2250
73	179	2250
74	182	2245
75	184	2241
76	186	2237
77	188	2231
78	191	2233
79	194	2234
80	196	2231
81	198	2224
82	200	2219
83	203	2219
84	206	2220
85	209	2227
86	212	2228
87	214	2224
88	216	2220
89	219	2216
90	221	2213
91	224	2216
92	227	2215
93	230	2218
94	232	2214
95	235	2214
96	237	2209
97	240	2211
98	242	2209
99	244	2204
100	247	2199
101	249	2193
102	251	2189
103	254	2189
104	257	2191
105	259	2187
106	261	2183
107	263	2178
108	265	2173
109	267	2167
110	270	2168
111	273	2166
112	275	2164
113	277	2159
114	280	2155
115	282	2151
116	284	2147
117	286	2144
118	288	2139
119	291	2134
120	293	2131
121	296	2131
122	298	2127
123	300	2122
124	303	2122
125	305	2120
126	308	2117
127	310	2113
128	312	2109
129	314	2105
130	317	2103
131	319	2102
132	322	2101
133	325	2100
134	327	2099
135	329	2096
136	332	2092
137	334	2092
138	337	2091
139	339	2087
140	342	2084
141	344	2081
142	346	2076
143	349	2076
144	351	2074
145	354	2073
146	356	2069
147	358	2065
148	361	2064
149	363	2061
150	366	2060
151	369	2059
152	371	2056
153	373	2052
